model,dataset,metric,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,vda,magnitude,status
MIS,AMINA,time_to_analyze,AQLM,AWQ,10,10,55,0.002,0.012,*,1,Large,ok
MIS,AMINA,time_to_analyze,AQLM,GPTQ,10,10,55,0.002,0.012,*,1,Large,ok
MIS,AMINA,time_to_analyze,AQLM,NONE,10,10,53,0.006,0.023,*,0.9,Large,ok
MIS,AMINA,time_to_analyze,AWQ,GPTQ,10,10,45,0.084,0.252,ns,0.8,Large,ok
MIS,AMINA,time_to_analyze,AWQ,NONE,10,10,36,0.432,0.864,ns,0.8,Large,ok
MIS,AMINA,time_to_analyze,GPTQ,NONE,10,10,36,0.432,0.864,ns,0.8,Large,ok
MIS,AMINA,vram_max_usage_mib,AQLM,AWQ,10,10,0,0.002,0.012,*,0,Large,ok
MIS,AMINA,vram_max_usage_mib,AQLM,GPTQ,10,10,0,0.006,0.024,*,0,Large,ok
MIS,AMINA,vram_max_usage_mib,AQLM,NONE,10,10,0,0.006,0.024,*,0,Large,ok
MIS,AMINA,vram_max_usage_mib,AWQ,GPTQ,10,10,0,0.002,0.012,*,0,Large,ok
MIS,AMINA,vram_max_usage_mib,AWQ,NONE,10,10,0,0.006,0.024,*,0,Large,ok
MIS,AMINA,vram_max_usage_mib,GPTQ,NONE,10,10,0,0.006,0.024,*,0,Large,ok
MIS,BTHS,time_to_analyze,AQLM,AWQ,10,10,55,0.002,0.012,*,1,Large,ok
MIS,BTHS,time_to_analyze,AQLM,GPTQ,10,10,55,0.002,0.012,*,1,Large,ok
MIS,BTHS,time_to_analyze,AQLM,NONE,10,10,55,0.002,0.012,*,1,Large,ok
MIS,BTHS,time_to_analyze,AWQ,GPTQ,10,10,55,0.002,0.012,*,1,Large,ok
MIS,BTHS,time_to_analyze,AWQ,NONE,10,10,55,0.002,0.012,*,1,Large,ok
MIS,BTHS,time_to_analyze,GPTQ,NONE,10,10,54,0.004,0.012,*,0.9,Large,ok
MIS,HW,time_to_analyze,AQLM,AWQ,10,10,55,0.002,0.012,*,1,Large,ok
MIS,HW,time_to_analyze,AQLM,GPTQ,10,10,55,0.002,0.012,*,1,Large,ok
MIS,HW,time_to_analyze,AQLM,NONE,10,10,55,0.002,0.012,*,1,Large,ok
MIS,HW,time_to_analyze,AWQ,GPTQ,10,10,55,0.002,0.012,*,1,Large,ok
MIS,HW,time_to_analyze,AWQ,NONE,10,10,55,0.002,0.012,*,1,Large,ok
MIS,HW,time_to_analyze,GPTQ,NONE,10,10,35,0.492,0.492,ns,0.5,Negligible,ok
MIS,MOZILLA,time_to_analyze,AQLM,AWQ,10,10,55,0.002,0.012,*,1,Large,ok
MIS,MOZILLA,time_to_analyze,AQLM,GPTQ,10,10,55,0.002,0.012,*,1,Large,ok
MIS,MOZILLA,time_to_analyze,AQLM,NONE,10,10,55,0.002,0.012,*,1,Large,ok
MIS,MOZILLA,time_to_analyze,AWQ,GPTQ,10,10,55,0.002,0.012,*,1,Large,ok
MIS,MOZILLA,time_to_analyze,AWQ,NONE,10,10,55,0.002,0.012,*,1,Large,ok
MIS,MOZILLA,time_to_analyze,GPTQ,NONE,10,10,46,0.064,0.064,ns,0.9,Large,ok
MIS,MOZILLA,vram_max_usage_mib,AQLM,AWQ,10,10,0,0.006,0.017,*,0,Large,ok
MIS,MOZILLA,vram_max_usage_mib,AQLM,GPTQ,10,10,0,0.002,0.012,*,0,Large,ok
MIS,MOZILLA,vram_max_usage_mib,AQLM,NONE,10,10,0,0.006,0.017,*,0,Large,ok
MIS,MOZILLA,vram_max_usage_mib,AWQ,GPTQ,10,10,0,0.002,0.012,*,0,Large,ok
MIS,MOZILLA,vram_max_usage_mib,AWQ,NONE,10,10,0,0.002,0.012,*,0,Large,ok
MIS,MOZILLA,vram_max_usage_mib,GPTQ,NONE,10,10,0,0.006,0.017,*,0,Large,ok
