quantization,dataset,metric,Mean,SD
AQLM,AMINA,Balanced Accuracy,0.515525117217585,0.06649459506440042
AQLM,AMINA,F1,0.02192192192192192,0.03856258106304387
AQLM,AMINA,Precision,0.07095238095238095,0.1324317591210096
AQLM,AMINA,Recall,0.013010752688172042,0.02265987125494726
AQLM,AMINA,Time to Analyze,646.3181875890587,489.5454781660121
AQLM,AMINA,VRAM Max Usage MiB,4060,153.19776615719812
AQLM,BTHS,Balanced Accuracy,0.4166666666666667,0
AQLM,BTHS,F1,0,0
AQLM,BTHS,Precision,0,0
AQLM,BTHS,Recall,0,0
AQLM,BTHS,Time to Analyze,551.1399101285963,115.21300943015076
AQLM,BTHS,VRAM Max Usage MiB,4766.6,61.82987411707494
AQLM,HW,Balanced Accuracy,0.4660300876569533,0.035486516882412084
AQLM,HW,F1,0.04183574879227053,0.06901441452647995
AQLM,HW,Precision,0.04206349206349206,0.06899134117141478
AQLM,HW,Recall,0.04444444444444444,0.07768954430890011
AQLM,HW,Time to Analyze,433.9923931350466,111.67643703202893
AQLM,HW,VRAM Max Usage MiB,4087.4,89.38704852742619
AQLM,MOZILLA,Balanced Accuracy,0.5494266454465692,0.06589391346938298
AQLM,MOZILLA,F1,0.12684659271718213,0.11103171195338406
AQLM,MOZILLA,Precision,0.1347082028526655,0.12823761982574253
AQLM,MOZILLA,Recall,0.1485541984077453,0.11625613618768181
AQLM,MOZILLA,Time to Analyze,398.29255783481057,337.5435422591847
AQLM,MOZILLA,VRAM Max Usage MiB,4504,156.15448191525667
AWQ,AMINA,Balanced Accuracy,0.8720665918871865,0.0747760204375555
AWQ,AMINA,F1,0.7609020545805443,0.07791138457200081
AWQ,AMINA,Precision,0.752188731146178,0.15242707242973266
AWQ,AMINA,Recall,0.8083510822751578,0.1291032084791859
AWQ,AMINA,Time to Analyze,70.1514801662648,137.0486816668414
AWQ,AMINA,VRAM Max Usage MiB,5582,208.67678356731494
AWQ,BTHS,Balanced Accuracy,0.7666666666666666,0
AWQ,BTHS,F1,0.68,0
AWQ,BTHS,Precision,0.5666666666666667,0
AWQ,BTHS,Recall,0.85,0
AWQ,BTHS,Time to Analyze,13.699415075033903,0.28356609427989976
AWQ,BTHS,VRAM Max Usage MiB,6089,0
AWQ,HW,Balanced Accuracy,0.6077464788732394,0
AWQ,HW,F1,0.3157894736842105,0
AWQ,HW,Precision,0.3,0
AWQ,HW,Recall,0.3333333333333333,0
AWQ,HW,Time to Analyze,22.882105659064838,0.6122201205013438
AWQ,HW,VRAM Max Usage MiB,5519,0
AWQ,MOZILLA,Balanced Accuracy,0.9241867548193067,0.064515826246207
AWQ,MOZILLA,F1,0.6607277457402996,0.1335208302362865
AWQ,MOZILLA,Precision,0.8667275371687136,0.1277036463635166
AWQ,MOZILLA,Recall,0.5519071658064792,0.1659268761315304
AWQ,MOZILLA,Time to Analyze,19.599300417676567,2.6728292174532493
AWQ,MOZILLA,VRAM Max Usage MiB,6146,214.27344938445154
GPTQ,AMINA,Balanced Accuracy,0.8860652347096973,0.05545592073420509
GPTQ,AMINA,F1,0.7930748569900011,0.09089132255534996
GPTQ,AMINA,Precision,0.7794999681821596,0.1104079386814463
GPTQ,AMINA,Recall,0.8249199631226578,0.14037242521087356
GPTQ,AMINA,Time to Analyze,40.61812549179886,49.22887960758655
GPTQ,AMINA,VRAM Max Usage MiB,6533.4,207.2460695244504
